orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,label,survey
-0.23939180766278087,-0.0279323607099781,0.04691579725447844,-0.2967165147483764,-0.4874657462768042,-0.06225211998787833,0.25533740808738764,-0.09438116257722852,0.1533624756770726,1,TESS
-0.37880479228722025,-0.018605424233899614,-0.2887193347813723,0.48858588510537393,0.7272476265294239,-0.03683617269007289,0.8262015984638742,-0.07716940334949185,0.013859028623146063,0,Kepler
-0.2485786167895366,-0.028086672842701707,-0.2112236709166062,-0.2944261685359431,-0.5590333346778781,-0.06248601903905417,0.16406861360990876,-0.13305173850448096,0.4867927589556789,1,Kepler
-0.365499084113323,-0.0283801025001455,-0.6725341505826256,-0.29891435154428037,-0.12083726778771452,-0.05977477544710765,-0.2053823996781734,-0.14349532245147892,0.5780185546543406,1,Kepler
-0.38065104942227695,-0.027626035607879053,-0.5955939637862646,-0.2794930747331174,0.38529617381410236,-0.05399256874726282,-0.6596632040692849,-0.15577111410847652,0.976531241127438,0,TESS
-0.35950302965357067,-0.026057297556032408,-0.28859369115875677,-0.28506080954114316,0.4939959733527476,-0.05153749682560514,0.7969334013072858,0.13005328865146767,-1.1600729212885719,0,TESS
-0.36620577895712414,-0.02791629433192789,-0.5533049655427985,-0.28988021429323074,-0.2578443067895486,-0.06100119993106104,-0.7063003969155212,-0.15558789333747655,0.652439598513774,1,Kepler
5.064621900825619,-0.01646307221879924,-0.14916233416681268,-0.05880297962427653,-1.0323303785023958,-0.06305410721984744,-0.3435666747781314,0.07636960274847814,-1.272904826494811,0,Kepler
-0.2768809384370009,-0.028061431581846326,1.4692597815651478,-0.2935326401109423,-0.6099863657116181,-0.06262234120283984,-0.22361504708719562,-0.16273350340647516,0.6980524963631048,0,Kepler
-0.3622502494573336,-0.00841426516353996,0.29941019665378404,3.7649594811916027,0.06599051266933198,-0.05731052671637561,0.45675058517579203,-0.11931018067948365,0.381162890251967,0,Kepler
-0.36667410320439653,-0.024812165309843186,-0.4463694303539479,-0.1407929379629671,0.0657363873710041,-0.05730811896581943,0.009570917143983502,-0.1102132693993354,0.23232080253309817,1,TESS
0.11614326668612117,-0.02692557484335423,0.03578177191202032,-0.2573691311973687,-0.8171953585821605,-0.06294561947696017,0.18613971310504096,-0.11729475219848404,0.41237171509624554,1,Kepler
-0.35103772626607127,-0.027701519598467072,-0.4036567981855449,-0.282634417697391,-0.2963421524594855,-0.06180703966537795,-0.7398868526689831,-0.1411134524284794,0.3763615325836148,1,TESS
-0.38916876416522483,-0.015800489121345518,-0.23372379859813758,-0.0758647508430416,0.9367211985570214,-0.02454751335848828,0.25331262461196496,-0.13415106313048075,0.4483818976088742,0,Kepler
-0.3886056729765844,-0.017961772082087425,-0.503416181336658,1.7219118726481306,0.36491496140060636,-0.05077456769852306,-0.5210950837607163,-0.1856360997814707,0.7724735402225382,0,Kepler
-0.3647505864349904,-0.024863068477166104,-0.32280139078793024,-0.12471105952500573,0.034015422211132254,-0.05780164547693558,-0.025570111704352937,-0.10884279635433279,0.21604420003738967,1,TESS
-0.3553915479011561,-0.026522882267292165,-0.42587163218346114,-0.2227011656533186,-0.30233068189871953,-0.061313132507631235,-0.6363446076461677,-0.14298633514964101,0.4403876370910703,1,TESS
-0.3891974048444578,-0.023925019959170936,0.0756074938699991,-0.299580646447406,1.0205106273680604,-0.018894940961571627,0.36558734813068083,-0.12352425841248282,0.41717307276459564,0,Kepler
0.09582092212986379,-0.027796398342864837,0.7049828508398011,-0.2926057327505248,-0.7492579838705072,-0.06287123602452518,0.3780623174105382,-0.0954914804494883,0.09548210898510556,1,Kepler
-0.14669458356437087,-0.00950279453792822,-0.15141069372940513,0.22626596688639206,-0.5126094619582484,-0.06234333200769104,0.5392773050271559,-0.06599293631849405,-0.1974007087842799,0,Kepler
-0.31305367451527194,-0.02163753069415213,-0.11616435117464771,-0.29308715970365024,-0.49336053912328,-0.06227284347422137,-0.2917475716156471,-0.14441142630647874,0.6020253429960931,0,Kepler
-0.3900546456755077,-0.02821918946219245,-0.715352174605525,-0.2994214546015725,1.4779556170931925,0.026333998039833485,0.3070509538175042,-0.054999690058496184,-0.11817830725649436,0,Kepler
-0.35526437292515367,-0.028443205652283945,-0.3371979346442104,-0.29994011190573966,-0.14574763851532072,-0.06003193509684134,0.07866305469396251,-0.13158597233648123,0.5059981896290813,0,Kepler
-0.3645678999550499,-0.028222344619799375,-0.47507527840906855,-0.29734682538490403,-0.014402047406124396,-0.05848707723796837,0.08346111980159994,-0.12407392072548272,0.4579846129455743,1,Kepler
-0.366531104316281,-0.028241275565440906,-0.16518189605028372,-0.3003894437286567,0.3943544904423228,-0.049866861583559886,0.18518010008351346,-0.015607224293503903,-0.4470713075385106,1,Kepler
-0.35820873083315596,-0.020751026061335113,-0.5127683651937059,-0.13052917661392324,0.44417523189753516,-0.0527140473471979,1.386615603035926,-0.02385215898850228,-0.007747080884432391,0,TESS
-0.36143255184088713,-0.007641251549843949,-0.34695184745251567,-0.09464682104097488,0.2901838492177878,-0.05272601709816445,-0.08830961105182009,-0.017072990461503616,-0.7135466581319675,0,Kepler
-0.12196144205326548,-0.005334831339183605,0.43422911013129223,0.8019627364598175,-0.21934646111961176,-0.06069435631501383,0.8300400505499841,0.15277266425546326,-1.2633021111581098,0,Kepler
-0.12964659400752085,-0.003053652389378641,1.7214728219100728,5.094724915984445,-0.6258384198110039,-0.06265796546166885,0.18230126101893102,-0.09347605196848871,0.03786581696489848,0,Kepler
-0.39114590910578684,-0.02862620479348545,-0.5438486297354246,-0.3013471624140742,1.695355216170483,0.05636030833546451,0.5575099524361781,-0.08120026031149108,-0.005346402050256297,0,Kepler
-0.22881425661304852,-0.01866221707082422,0.21447676097129503,-0.29505266547761033,-0.49562511828033506,-0.06228177328843451,0.5133677534459137,-0.1057518436254863,0.28753641571912913,0,Kepler
-0.36384820060296097,-0.021142170949865296,-0.3664927371803409,0.39877087273029455,0.08410714592577286,-0.057007578019293716,0.24851455950432755,-0.11124846675548523,0.22751944486474812,0,Kepler
0.7539449978739644,-0.027329435017040306,1.081913718686176,-0.29011900206198094,-0.8319151231030187,-0.06295882420223278,0.7139268749451583,-0.031730652141500726,-0.14458577443242288,1,Kepler
-0.336526933079451,-0.028439589873217992,-0.5776173536920575,-0.2987867357233031,-0.6155562554234176,-0.0626346659747201,-1.0470877692505773,-0.18495543461720584,0.9468348439486902,1,TESS
